MET file converted from FVCOM filessm_mc_20_0.83alb.dat
KT = coef of heat exchange (watts/m2/C) (not used), TE = equil temp (C) (not used)
 IO = PAR (E/m2/day), FD=Fraction of day, and WS = wind speed (m/s)
    JDAY    KT      TE      IO      FD      WS  
   0.000  14.940  23.030  10.171   0.327   3.708
   0.500  14.940  23.030  10.171   0.327   3.708
   1.500  14.940  23.030  10.665   0.327   6.373
   2.500  14.940  23.030   8.899   0.327   8.821
   3.500  14.940  23.030  12.695   0.327   6.708
   4.500  14.940  23.030   6.750   0.328   7.433
   5.500  14.940  23.030   5.216   0.329   8.121
   6.500  14.940  23.030   3.356   0.330   8.510
   7.500  14.940  23.030  10.943   0.331   3.918
   8.500  14.940  23.030   8.931   0.332   3.215
   9.500  14.940  23.030   8.653   0.332  10.290
  10.500  14.940  23.030   9.131   0.333   5.684
  11.500  14.940  23.030  12.425   0.333   7.956
  12.500  14.940  23.030   4.917   0.333   3.922
  13.500  14.940  23.030  14.354   0.333   5.743
  14.500  14.940  23.030   8.135   0.333   9.282
  15.500  14.940  23.030  15.214   0.333   6.223
  16.500  14.940  23.030  12.177   0.333   4.926
  17.500  14.940  23.030   7.462   0.333   7.371
  18.500  14.940  23.030   8.239   0.333   3.135
  19.500  14.940  23.030  12.190   0.333   3.130
  20.500  14.940  23.030  13.089   0.333   9.867
  21.500  14.940  23.030   8.405   0.333   7.441
  22.500  14.940  23.030   7.180   0.333   6.539
  23.500  14.940  23.030  14.133   0.333   6.725
  24.500  14.940  23.030  11.014   0.333   3.268
  25.500  14.940  23.030  16.346   0.336   7.905
  26.500  14.940  23.030  17.162   0.338   6.414
  27.500  14.940  23.030   8.176   0.341   4.381
  28.500  14.940  23.030   9.072   0.344   5.656
  29.500  14.940  23.030  15.701   0.346   6.808
  30.500  14.940  23.030   9.947   0.349   9.905
  31.500  14.940  23.030  11.028   0.351   6.096
  32.500  14.940  23.030  19.322   0.358   4.596
  33.500  14.940  23.030  20.863   0.365   3.025
  34.500  14.940  23.030   9.951   0.372   7.630
  35.500  14.940  23.030   2.887   0.378   4.005
  36.500  14.940  23.030   8.538   0.385   2.153
  37.500  14.940  23.030  14.259   0.392   6.189
  38.500  14.940  23.030  20.986   0.399   5.322
  39.500  14.940  23.030  23.029   0.401   1.903
  40.500  14.940  23.030  22.885   0.404   2.529
  41.500  14.940  23.030  15.826   0.406   4.087
  42.500  14.940  23.030  22.494   0.409   1.581
  43.500  14.940  23.030   9.826   0.412   4.727
  44.500  14.940  23.030  20.565   0.414   3.762
  45.500  14.940  23.030  14.729   0.417   7.621
  46.500  14.940  23.030  22.297   0.417   4.445
  47.500  14.940  23.030  25.021   0.417   2.168
  48.500  14.940  23.030  27.352   0.417   3.995
  49.500  14.940  23.030  28.381   0.417   2.945
  50.500  14.940  23.030  28.138   0.417   2.846
  51.500  14.940  23.030  27.353   0.417   2.428
  52.500  14.940  23.030  22.860   0.417   4.191
  53.500  14.940  23.030  27.030   0.417   4.955
  54.500  14.940  23.030  27.793   0.417   2.077
  55.500  14.940  23.030  26.994   0.417   1.460
  56.500  14.940  23.030  23.774   0.417   1.996
  57.500  14.940  23.030  30.282   0.417   2.855
  58.500  14.940  23.030  19.388   0.417   6.798
  59.500  14.940  23.030  19.851   0.417   3.506
  60.500  14.940  23.030  24.099   0.420   2.327
  61.500  14.940  23.030   7.864   0.423   6.856
  62.500  14.940  23.030  25.642   0.426   6.238
  63.500  14.940  23.030  29.473   0.429   4.192
  64.500  14.940  23.030  31.644   0.432   5.943
  65.500  14.940  23.030  22.573   0.435   1.484
  66.500  14.940  23.030  45.599   0.438   3.508
  67.500  14.940  23.030   0.000   0.444   3.852
  68.500  14.940  23.030  38.149   0.450   2.203
  69.500  14.940  23.030  27.322   0.457   6.806
  70.500  14.940  23.030  37.192   0.463   5.180
  71.500  14.940  23.030  23.697   0.469   2.208
  72.500  14.940  23.030  27.493   0.476   5.631
  73.500  14.940  23.030  35.199   0.482   7.289
  74.500  14.940  23.030  41.513   0.485   8.083
  75.500  14.940  23.030  41.821   0.487   4.925
  76.500  14.940  23.030  38.376   0.490   3.078
  77.500  14.940  23.030  42.167   0.492   2.153
  78.500  14.940  23.030  41.811   0.495   1.449
  79.500  14.940  23.030  42.114   0.497   2.796
  80.500  14.940  23.030  36.520   0.500   1.605
  81.500  14.940  23.030  33.691   0.500   3.885
